release_date,CGN,brief_description,detailed_description,executor_type,executor_name,price_currency,customer_name,customer_type,bidding_agent
2023-08-02,CGN-202305310008,В 2023 году в Китае было приобретено слияние оборудования для смены коробок (первый пункт: винты),Совместимая закупка оборудования для смены коробок в 2023 году (первый пункт: Хиннин),Владелец,SMS,CNY,Гуаньчжоу,Участники торгов,Чайна инжиниринг лимитед
2023-01-16,CGN-202211140006,"Закупка оборудования для фотоаппаратов УНИТА (первый пункт: C, D)","Закупка оборудования для фотоаппаратов УНИТА (первый пункт: C, D)",Разработчик,East Electric Group Eastern Electric Company,¥,"Синьхуа, Коул",Участники торгов,Чайна инжиниринг лимитед
2023-08-24,CGN-202307050014,"В пункте 1 проекта генерального подряда на проект PC в 1 млн кВт-диапазоне на базе экологически чистой энергии в Синьцзяне
Результаты",1-й сегмент генерального подряда проекта PC на 1 млн. киловатт-электрических полях на базе экологически чистой энергетики в Южном Синьцзяне (проект конкурса),Разработчик,China Electric Industrial Co. Ltd.,CNY,China Solar Successor,Участник,Чайна инжиниринг лимитед
2023-03-30,CGN-202301310002,Озеро Хэбэй ведает о результатах строительства гидроэнергетической станции,"Вэнь Вэй, Северное озеро, попыталось закупить фазу строительства гидроэнергетической станции",Заявители,Китайская гидроэнергетическая компания 12-я инженерная компания,CNY,China's New Energy Corp.,Участник,Чайна инжиниринг лимитед
2023-09-13,CGN-202307040015,2023 - 2024 гг. в матрице фотоэлектрических компонентов (2 шт),С 2023 по 2024 гг. рамка фотоэлектрических компонентов для новых источников энергии (2 шт),Разработчик,Lonk Green Energy,CNY,Чайна энтропия,Приглашение,Чайна инжиниринг лимитед
2023-08-01,CGN-202304170003-N1,"Технические услуги по анализу рисков взрывания, связанные с испытанием на герметичность (CTT)",Технические услуги по анализу риска взрыва (второе предложение) для испытания на стендирование корпуса безопасности (CTT),Выпускник,Южный политехнический университет,RMB,Чайна атомная электроника,Заявители,Чайна инжиниринг лимитед
2023-08-23,CGN-20230524002,2023 г. - 2-я серия мониторинговых и контрольных пунктов 1.,Первая часть второго контрольного набора новых источников энергии в рамках проекта 2023 года,Партнеры,Китайская инженерная компания,CNY,China & China 's New Energy Ltd. Dun State Company,Приглашаем,Чайна инжиниринг лимитед
2023-09-07,CGN-202307120011,Обобщение результатов работ по консервированию оборудования на атомных электростанциях Linga I и Language II,Проект CGN-202307120011,Инжиниринг компании,Юй Ян,CNY,компания с ограниченной ответственностью за управление ядерной энергетикой в Большом заливе,Прием,Чайна инжиниринг лимитед
2023-03-29,CGN-20230128002,LF-проект LOT45A Обозначение результатов выверки,"В рамках проекта LOT45A для обычного архипелажного клапана (номер тендера: CGN-20230128002) для определения победителей проекта, например",Инвесторы,Emerson Management (Тяньцзинь) клапаны,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-02-14,CGN-202210190005-N1,В рамках пилотного генерального подряда на проект ЭПК (перезакупка) для производства фотоэлектрической энергии на трассе Нанси,"Консорциум по проекту ЭПК, экспериментальный проект ЭПК, оптимизированный для производства электроэнергии на шоссе Бенези (переторг)",Китай,Китайская энергетическая корпорация по строительству северо-западной электроэнергетики Ганьсу,¥,Hyundai Song New Energy Ltd,Заказчик,Чайна инжиниринг лимитед
2023-03-23,CGN-20230116003,Результаты закупок в рамках проекта CW LOT120 Eb (внутриконструкция),Закупка в рамках проекта CW LOT120 Eb (внутриконструкция текучести) для определения проекта,Производитель,Шанхайский завод No 1,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-06-05,CGN-202304140006,"Проект AD LOT7B, Групповая решетка, Стальные вороты и Хлоридные решетки, Тверская решетка и Чистая очистка","Проект AD LOT7B, решетки и хлорированные решетки, решетки и очистители",Покупатель,Нанкин - компания по автоматизации электрооборудования,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-04-28,CGN-202303140017,"AN Проект по созданию трансформатора связи с передней стеной LOT70B
Циркуляр результатов",EN-проект LOT70B для определения проекта,Производитель,Electronic AG,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-06-13,CGN-202304060020,Закупка матрицы комплексной автоматизированной системы электроснабжения 2023 года (четвертый пункт),Закупка матрицы комплексной автоматизированной системы подъемных станций в 2023 году (четвертый пункт),Продюсер,электрическая компания,CNY,Чайна энтропия,Приглашение,Чайна инжиниринг лимитед
2023-06-05,CGN-20230329008,"SK-проект LOT7A фильтры и устройства для фильтрации на дне барабанной сети, неядерные
фильтров
Циркуляр результатов",Устройство для фильтрации барабанной фильтры LOT7A и фильтры для фильтрации неядерного класса CFI,Производитель,Jianzsu Electric Company,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-25,CGN-20230710003,2023 - 2024 гг. в матрице ретрансформаторов (1 северный показатель),С 2023 по 2024 гг. матрицы ретрансформаторов (северный 1 тендер),Чиновник,Цифровая компания Шэньчжэнь,¥,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-05-05,CGN-202301310001,"В рамках проекта электростанции Чхончхон, которая была разработана в рамках проекта Электрическая энергетика, были получены предварительные результаты в области закупок услуг на этапе разработки",Закупка предварительного и научно-исследовательского сервисного этапа проекта МЭА в провинции Гуандун,Проект,Шэньчжэнь Синьцзянский проект и проектно-конструкторская компания China & Co. Ltd.,CNY,Чайна энтерпрайз,Заявители,Чайна инжиниринг лимитед
2023-07-04,CGN-20230217001,"Экспериментальный проект по накоплению тепловых электростанций с нулевым углеродом на снежном плато Ali 150 МВт в Тибете
Результаты закупок оборудования для тепловых насосов",Новый энергетический тибетский солнечный солнечный солнечный солнечный тепловый проект «Нулевой углерод» (50 МВт фототермальный сегмент),Производитель,Zian Huawei,CNY,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-08-24,CGN-202305240013,2023 г. - 2-я серия мониторинговых и контрольных работ по 12-й серии.,12-й пункт 2-й контрольной серии проекта 2023 года по новым источникам энергии,Инжиниринговая компания,Шанси,CNY,China & China 's New Energy Ltd. Dun State Company,Приглашаем,Чайна инжиниринг лимитед
2023-06-14,CGN-202304060017,Закупка матрицы комплексной автоматизированной системы электроснабжения 2023 года (пункт 1),Закупка матрицы комплексной автоматизированной системы электроснабжения 2023 года (первый пункт),Партнеры,Нанкинская корпорация по техническому обслуживанию,CNY,Чайна энтропия,Приглашение,Чайна инжиниринг лимитед
2023-04-14,202212020007,Проект оптимизации ядерно-энергетического обслуживания в Янцзяне и процесса охлаждения клапанов безопасности VVP,Инспекции на атомную электростанцию Янцзы и оптимизация процесса охлаждения клапанов безопасности VVP,Владелец,Шэньчжэнь,CNY,Янцзян энтерпрайз лимитед,Заявители,Чайна инжиниринг лимитед
2023-09-13,CGN-20230710008,2023 - 2024 гг. в матрице фотоэлектрических компонентов (3 шт),С 2023 по 2024 гг. матрица фотоэлектрических компонентов (3 шт),Производитель,Crysco Energy,CNY,Чайна энтропия,Приглашение,Чайна инжиниринг лимитед
2023-06-19,CGN-202303230004-N1,"Синьцзян-Уйгурский проект по выпуску линий электропередачи и проект топографической съемки (тяжелый)
Объявлены результаты нового конкурса",Синьцзян-Уйгурский проект по выпуску линий электропередачи и проект топографической съемки (перезаключение),Консалтинговая компания,по проектированию электроэнергетики Сычуань,¥,"Ветроэнергетика, Чайна",Участники торгов,Чайна инжиниринг лимитед
2023-02-20,CGN-20221024002,Результаты проекта SK LOT110,В рамках проекта SK LOT110 (номер тендера: CGN-202210240002) были определены следующие участники,Продюсер,ТАСС,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2022-11-14,CGN-202208230002-N1,Проект 35kV по строительству и установке коробок для сборки электропроводов и установки коробок (раздел B),Интегрированный проект 35kV по строительству и установке коробок (б) (перезапрос),Производитель,China Electric Co. Ltd.,¥,Song Kong Guinema,Заказчик,Чайна инжиниринг лимитед
2023-03-09,CGN-20230110002,"Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база
и результаты тендера на замену коробки (пункт 3)","Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база и коробка
тендерная заявка",Китай,Китайская энергетическая компания China Energy Building Group,¥,Белая энергетика,Участники торгов,Чайна инжиниринг лимитед
2023-03-09,CGN-20230110002,"Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база
и результаты тендера на замену коробки (пункт 3)","Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база и коробка
тендерная заявка (No CGN-202301110002)",Китай,Китайская энергетическая компания China Energy Building Group,¥,Белая энергетика,Участники торгов,Чайна инжиниринг лимитед
2023-05-24,CGN-20230419001,AD-проект LOT130J PTR фильтры водоемов и TSP-регулятор,фильтры водоемов для системы LOT130J PTR и корзина TSP для выверки для данной программы AD.,Компания,Hong Kong New Energy Engineering,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-24,CGN-20230627005,Краткая информация о результатах закупок по портфелю 2023 года (пункт 1),Закупка матрицы нового энергоблока 2023 года (пункт 1),Средиземноморье - высокотехнологичная компания,Средиземноморье - высокотехнологичная компания,¥,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-04-06,CGN-20221215002,Проект строительства выставочного зала,Проект строительства выставочного зала в этом здании с ядерными установками,В Шэньчжэне - южный инженер,Проект строительства выставочного зала,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-06-13,CGN-20230329003,Проект SK LOT140Ch для углеродной стали,В рамках проекта LOT140Ch атомная углеродная сталь для определения медианы проекта,Партнеры,Ниси,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-03-23,CGN-20230118005,Результаты проекта CW LOT120D,В этом маркетинге проекта CW LOT120D,Производитель,"Easter Electric Group, Easter Co.",RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2022-11-14,CGN-20220927002,Наньцзян-Уйгурский стартовый результат покупки кабеля,Закупка кабеля,Производитель,Jiangsu Hong Co.,¥,China's China's huaning,Участник,Чайна инжиниринг лимитед
2023-04-20,CGN-20230310004,Результаты в блоке BZ 5 и 6 LOT120Ca,"Проект BZ No 5, блок 6 LOT120Ca (консерваторы) для определения проекта",Производитель,"Easter Electric Group, Easter Co.",RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-07-12,CGN-202304140004,Результаты проекта EPC EPC 2-го фотоэлектрического проекта EPC,Проект EPC II по фотоэлектрической схеме с новым энергоносителем Китая и Китая,Производитель,China Electric Co. Ltd.,¥,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-08-24,CGN-202305240012,В 2023 году в одиннадцатом пункте 11 проекта «Новые источники энергии» было объявлено о результатах,11-й пункт 2-го контрольного набора новых энергетических ресурсов в рамках проекта 2023 года,Инжиниринговая компания,Далянь,CNY,China &amp; China &apos; s New Energy Ltd. Dun State Company,Приглашаем,Чайна инжиниринг лимитед
2023-09-20,CGN-202307110003,50 МВт наземной ветровой электростанции и строительный проект по строительству электрической линии.,"50 МВт наземной ветряной станции, проект по закупке электрической линии",Победитель,China Energy Corporation,CNY,Qualcomm Power,Участник,Чайна инжиниринг лимитед
2023-01-04,CGN-202210110007,Проект BT LOT41A иллюстрирует результаты установки для нагрева воды,Проект BT LOT41A для водяного нагревателя,Производитель,Шанхайская электростанция,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-01,CGN-20230529002,"Проект по закупке электрического источника Л
Циркуляр результатов",Приобретение прямых источников энергии для устройства L,Победитель,Хунань Кори,RMB,Китайская академия ядерных исследований,Приглашение,Чайна инжиниринг лимитед
2023-04-11,CGN-2022127001,Результаты проекта CS по мониторингу деформации,В данном проекте CS по мониторингу деформации (номер тендера: CGN-20221270001) были определены следующие участники:,Разработчик,China Design Group,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-07-20,CGN-20230529005,В 2023 году Китай и Китай закупили второе оборудование высокого давления (пункт 2: Оборудование в районе Хэйлунцзян),В 2023 году была произведена вторая совместная закупка наружного оборудования высокого давления (пункт 2: Оборудование в районе Хэйлунцзян),Партнеры,Ханане,¥,China and China New Energy Co. Ltd.,Участник,Чайна инжиниринг лимитед
2023-08-09,CGN-20230619001,Объяснение результатов проекта Услуги по мониторингу морской среды в рамках проекта CS,"Проект услуг по мониторингу морской среды в рамках проекта CS (номер тендера: CGN-202306190001), в рамках которого будут определены выигравшие участники проекта",Среди участников,"Центр мониторинга морской среды Вэньчжоу, Национальное управление по океанам",RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-06-16,CGN-20230420005,Результаты охлаждения насосов для охлаждения оборудования LOT134D в рамках проекта CS в Чжэцзяне,Проект CS в Бенгане и проект AD в Гуандуне LOT134D охлаждающие насосы,Производитель,Shanghai Cyon Co. Ltd.,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-23,CGN-20230704004,"Синьцзян в 2023 году закупка основного оборудования для проекта «Синьцзян» (третий пункт: фотоэлектрический проект)
плодов",С 2023 года Синьцзян-Уйгурский проект по приобретению основного оборудования (третий пункт: фотоэлектрический проект),Интерфейс,двузвездный трансформатор,CNY,China Solar Successor,Участник,Чайна инжиниринг лимитед
2023-06-06,CGN-202304240020,"50 МВт ветряная дорожка, платформа, ветряная база и коробка в Китае
Результаты","50 МВт ветряная дорожка, платформа, фонограмма и фундаментальная инженерия коробки",Покупатель,Инжиниринг 2,¥,"Гуй-Ветер, Китай",Заказчик,Чайна инжиниринг лимитед
2023-01-30,CGN-202212080010,"75 000 кВт/300 000 кВт/ч для хранения энергии 300 000 кВт ветровых турбин
Обозначение результатов строительства в пункте 1",Установить 300 000 кВт ветровых ветряных установок для строительства ветроустановок для строительства ветроэнергетических установок в городе Тауэр,Китайское управление гидроэнергетики IV,Китайское управление гидроэнергетики IV,¥,China and China New Energy Tori Ltd,Участник,Чайна инжиниринг лимитед
2023-09-11,CGN-202307040028,Проект по закупке дизельных генераторов в чрезвычайных ситуациях в рамках проекта HLF,Проект по закупке дизельных генераторов в чрезвычайных ситуациях в рамках проекта HLF (номер тендера: CGN-202307040028) для определения промежуточного значения проекта,Производитель,Focus генератор,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-07-06,CGN-20230505001,220-килограммовый вариант - N58 для передачи результатов проводной работы,220 кВт - N58 - проект по отправке новых энергетических кухонных блоков,Компания,China Electronics Bureau Ltd.,CNY,China 's Remote,Участник,Чайна инжиниринг лимитед
2023-02-07,CGN-20230105003,490 МВт в рамках 1-й закупки фотовольтных постов в рамках комплексного энергетического проекта 490 МВт,490 МВт 1-й покупка фотоэлектрических кабелей в рамках проекта комплексного энергоснабжения 490 МВт,Производитель,Jiangsu Slue Electric,CNY,Белая энергетика,Покупатель,Чайна инжиниринг лимитед
2023-08-01,CGN-202303150009-N1,Закупка 2-го тендера на сканирование электронных микроскопов,Закупка 2-го тендера на сканирование электронных микроскопов для запуска,Разработчик,Beijing Prices,RMB,Чайна инк.,Заявители,Чайна инжиниринг лимитед
2023-06-05,CGN-202303170004,Проект AD-проекты 3 и 4 LOT130Ab,Вторая партия тары для предварительного захоронения в блоке 3 и 4 LOT130Ab,Производитель,Shanghai Electric Electronics Television,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-08-24,CGN-20230608004,"Китайская компания China 's Northern 's friends, Lake of the Language, Mitsubishi City Television разместила генеральный контракт EPC
(по 2-этому из озера Лебедь)","Компания Бэйбэй, Лебедь, Чайна, Чайна, Чайна, Чайна, Чайна, Чайна, Чайна Сити, Лебедьское озеро (номер тендера: CGN-202306080004)",Консорциум компании,Харбин энтерпрайз,¥,Чайна,Участники торгов,Чайна инжиниринг лимитед
2023-05-10,CGN-20230228005,Закупка 490 МВт комбинированного энергопроекта в Гизилу,"Закупка 490 МВт комбинированного энергопроекта (пункт 2)
20230228005",Провинция,Джилин,CNY,Белая энергетика,Покупатель,Чайна инжиниринг лимитед
2023-02-13,CGN-202212020008,20 МВт в рамках генерального подрядного проекта по производству дополнительной электроэнергии,20 МВт проект по совместному производству электроэнергии,Китай,Китайская энергетическая компания China Energy Building Group,¥,China Solar (China) Ltd.,Участник,Чайна инжиниринг лимитед
2023-07-18,CGN-20230106005,Результаты закупок ветряного генераторного оборудования в рамках проекта Чжоу,Закупка оборудования для ветрогенераторов в рамках проекта Чжэцзян (заявление No CGN-20230106005) для определения настоящего,Ведущий,Перспективная энергетика,CNY,Ветроэнергетическая компания Гуанчжоу,Консорциум,Чайна инжиниринг лимитед
2023-06-16,CGN-202303170003-N1,Проект LF LOT104F сейсмометрическая система KIS,Проект LOT104F сейсмометрическая система KIS (Конференция No CGN-202303170003-N1) для определения проекта,Информация о кандидатах,Вуханьский институт сейсмических приборов,CNY,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-07-11,CGN-202304060015,Закупка шкафов для высоковольтных шкафов в 2023 году (пункт 2),Закупка шкафов для высоковольтных шкафов в 2023 году (пункт 2) 202304060015,Продюсер,электрическая компания,CNY,Чайна энтропия,Приглашение,Чайна инжиниринг лимитед
2023-05-18,CGN-202303140010,"В 2023 году в Китае впервые была приобретена безуспешное оборудование (пункт 1: компенсация за неустойчивость озера Цинхайхен)
Оборудование)",В 2023 году в Китае впервые совместили закупки оборудования для компенсации за неустойку (первый пункт: оборудование для компенсации за неустойчивость на озере Цинхайхен),Информация о кандидатах,Синьцзян,¥,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-05-07,CGN-202301030002-N1,"Приобретение оборудования, такого как механические звенья, и т.д. (переторг)","Закупка (перезакупка) оборудования, такого, как механические ручки, такие, как корпус I, (заявка на тендер No CGN-202301030002-N1), для определения данной статьи",Производитель,Jiangsu Typhi,CNY,Китайская академия ядерных исследований,Приглашение,Чайна инжиниринг лимитед
2023-05-18,CGN-202303210001,"Закупка оборудования для морских ветровых электростанций (переходный период)
Результаты",Проект закупок оборудования для морской ветровой электростанции Чжэцзян 4 ( Морской ветер ) ( Управление ),Инжиниринг,компания Синьцзян и компания Чжэцзян,CNY,China 's Shipping Company,Участник,Чайна инжиниринг лимитед
2023-05-23,CGN-202301120002,Результаты проекта по ремонтно-строительным работам на нетехническом заводе за пределами UD 2023-2024,Проект по ремонту и ремонту нетехнических производственных зданий вне здания UD на 2023-2024 гг.,Проект,Китайская ядерная промышленность,CNY,Фуджянинд энтерпрайз лимитед,Заявители,Чайна инжиниринг лимитед
2023-04-11,CGN-20230228001,"Результаты проекта по закупке материалов для предварительного замены трубы СЭН, 1/2 атомного завода в заливе","Проект по закупке материалов для предварительной замены трубы из углеродной стальной трубы СЕН, блок 1/2 АЭС Бенгоа",Производитель,Jiang Jiangong Chase Group,CNY,Гуандун атомный коммерсант лимитед,Заявители,Чайна инжиниринг лимитед
2022-11-16,CGN-20221008001,100 МВт / 200 МВт в рамках проекта EPC,100 МВт / 200 МВт для хранения энергии в Новую Зеландию,Китай,Китайская энергетическая корпорация Хунань,CNY,"Синьцзян, Хунань, Синьдао",Покупатель,Чайна инжиниринг лимитед
2023-04-11,CGN-20230224003,"Закупка второй системы камер УНИТА (пункт 2: Стимул) в Китае и Китае
публичный","Закупка второй системы камер УНИТА (пункт 2: УНИТАФ, Г) (заказ No CGN-CGN)
20230224003), идентифицированные лица:",Производитель,ABB (Китай) Ltd.,¥,"Синьхуа, Коул",Участники торгов,Чайна инжиниринг лимитед
2023-01-30,CGN-202212080005-N1,В 2022 году Китай и Китай закупили третье оборудование AIS на открытом воздухе (второе место: 2-я серия на открытом воздухе на Тюдоре),В 2022 году мы закупили третье оборудование AIS с высоким давлением на открытом воздухе (второй пункт: 2-й этап: оборудование для наружного давления на Тюдоре),Информация о кандидатах,Santone Tencent,¥,Чайна Хиросима,Участники торгов,Чайна инжиниринг лимитед
2023-09-11,CGN-202306080012,Проект SK LOT49A Проект специального оборудования для пожаротушения на заводе,"Оборудование для пожаротушения, специально предназначенное для пожаротушения на заводе",Оригинальное название,SK Project LOT49A Оборудование для пожаротушения,RMB,Чайна инжиниринг лимитед,Заявители,Чайна инжиниринг лимитед
2023-03-01,CGN-20230105007,В 2023 году была произведена первая совместная закупка кабеля (первый пункт: региональный кабель в Андже),В 2023 году был произведен первый слияние кабеля (первый пункт: региональный кабель в гербах),Производитель,Hong Kong,¥,China 's New Energy Angeles Ltd.,Участник,Чайна инжиниринг лимитед
