basic_qualification,qualification_requirements,financial_requirements,performance_requirements,credit_requirements,other_requirements,tender_start_date,tender_end_date,receipt_methods,personnel_requirements,trust_requirements,contact_information
"участник процедур, зарегистрированный на территории Китайской Народной Республики в соответствии с Законом Китайской Народной Республики о компаниях, имеет право
Законодательная власть, предприятия, которые могут предложить продукты и услуги для проекта.",/,"аудиторские заключения и финансовые ведомости, представленные зарегистрированной аудиторской фирмой за последние три года (2020-2022 годы)
В скобках: балансовая ведомость, ведомость прибылей, ведомость движения денежной наличности и приложение.","должны иметь историю и результативность как минимум на три года производства товаров или аналогичных товаров. (Оборудование для замены коробки должно быть
Комбинированная или сборная с емкостью 3150 КВА и выше, электрическое давление на 35 КВ и выше.","участники торгов имеют хорошую банковскую и коммерческую репутацию, не находятся в ситуации, когда им предписывается прекратить работу, захват имущества, замораживание
Конкретно, несостоятельно и не находится в пределах и в течение срока, в течение которого компания &lt; &lt; Чайна холдинг компани лимитед &gt; &gt; ограничила свои предложения.","1) Проект не принимает консорциума.
2) В данном проекте не принимаются заявки от агента.
(3) Участники торгов должны иметь финансовые, технические и производственные возможности, необходимые для исполнения контракта, и могут быть поставлены в соответствии с требованиями тендерной документации;
Положения тендерной документации могут быть выполнены и выполнены.
(4) Юридическим представителем является два или более юридических лица одного и того же лица, материнская компания и ее дочерняя компания, холдинговая компания.
Принимает участие в торгах по данному проекту.
(5) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.","07 июня 2023 года, 17:00","16 июня 2023 года, 17:00","(1) Участники торгов должны быть размещены на платформе электронной коммерции China and China (https://ecp.cgnpc.com.cn) в течение срока действия тендерной документации
Для регистрации в онлайновом режиме необходимо заполнить информацию об уполномоченном участниках торгов.
(2) Стоимость тендерной документации по проекту составляет 0 долл.
3) Участники торгов были зарегистрированы в качестве участников платформы электронной коммерции, которая может быть зарегистрирована непосредственно, в противном случае они должны быть зарегистрированы в качестве участников платформы.
Зарегистрироваться можно только после того, как шаг зарегистрированного члена будет подробно описан на платформе электронной коммерции. Информация о лицензиях, выданных участникам торгов на момент регистрации
Изменения, внесенные при регистрации, пожалуйста, войдите в веб-платформу электронной коммерции, чтобы обновить информацию о регистрации членов. Из-за несвоевременного представления заявок
Новая информация о регистрации влияет на торги, и участник торгов берет на себя ответственность.",,,
"участник процедур должен быть зарегистрирован на территории Китайской Народной Республики (за исключением Гонконга, Австралия) и иметь статус независимого юридического лица / Компания; участник торгов должен иметь лицензию на безопасное производство (за исключением проектно-конструкторской палаты) и находиться в течение срока действия.",Генеральный контрактный уровень (или уровень А) и выше в области электротехники.,"Участники торгов должны будут представлять отчеты о финансовой ревизии, которые были произвольными в течение трех лет подряд в период с 2019 по 2022 год.",За последние три года (без учета текущего года) было выполнено два и более аналогичных проектных проекта с емкостью 100 МВт и выше.,"Не находится в пределах и в течение срока, в течение которого компания 'Чайна Хинчжи' ограничивает свои предложения.","1) Проект не принимает консорциума. 2) Участники торгов должны пройти серию ISO 9000, ISO 14000, ISO 45000 или одинаковое качество, окружающую среду, гигиену труда и безопасность труда сертификация системы. 3) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.3.",07.07.2023 в 17.00,,,"1) Сертификат регистрации строительного мастера первого уровня (при условии наличия электронного сертификата регистрации, который действует в течение 180 дней). 2) Технический руководитель: имеет должность среднего и выше. 3) Сотрудники по вопросам безопасности: сертификация C сертификата безопасности производства в течение срока действия.",,
"Участник процедур должен быть зарегистрирован на территории Китайской Народной Республики (за исключением Гонконга, Австралии) и иметь статус независимого юридического лица
/ Компания, имеющая действительные лицензии юридического лица, выданные администрацией предприятия. Участники торгов должны иметь лицензию на безопасное производство и
Срок действия.","Для участия в торгах требуется, чтобы участники торгов обладали такими качествами, как общий контракт на строительство гидроэлектроэнергии и выше. (если в соответствии с
Министерство по вопросам городского и сельского строительства в связи с выпуском циркуляра о программе реформы системы управления инженерно-строительными предприятиями в целях повышения квалификации или новых сертификатов для гидроэлектроэнергетики
Генеральный контракт на строительство уровня А и выше).",Отчет о финансовой ревизии за последние три года (2019-2021).,"За последние годы (с 1 января 2018 года по конец тендера) участники торгов должны иметь не менее трех аналогичных контрактов на строительство, аналогичных тем, которые были выполнены.
            Речь идет о проекте строительства гидроэлектроэнергии. Представленные участниками процедур результаты должны быть не материнской компанией, сотрудничающей стороной или техникой.
            В них также не учитываются результаты работы консорциума и субподряда. Участники торгов должны представить документ, подтверждающий, что они должны предоставить ключевые страницы контракта,
            Все элементы, отражающие требования в отношении выполнения работы (включая наименование проекта, объем работ, объем контракта, дату подписания и т.д.).",Компания &lt; &lt; Чайна-Групп &gt; &gt; не находится в ограниченном диапазоне и сроках проведения торгов.,"1) В рамках проекта не принимаются предложения консорциума.
            2) Участники торгов должны пройти серию ISO 9000, ISO 14000, ISO 45000 или одинаковое качество, окружающую среду, гигиену труда и безопасность труда
            Сертификация системы.
            (3) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.3.",,,,"1) Менеджер проекта: имеет свидетельство о регистрации строительного мастера первого уровня (специализация: гидроэлектроэнергия) (предоставление электронного реестра)
            Сертификат электронной регистрации должен быть выдан в течение 180 дней с момента его использования, а регистрационный номер должен соответствовать наименованиям участника торгов и иметь действительный срок
            Сертификат сертификата B.
            2) Главный инженер проекта: старший инженер, который в период с 1 января 2018 года по конец тендера взял на себя работы по проектированию скважин для гидроэлектроэнергии
            Главный сотрудник или технический руководитель или руководитель проекта, который представляет документы.
            3) Генеральный директор по вопросам безопасности проекта: национальный зарегистрированный инженер по вопросам безопасности, работающий по проектам в области гидроэнергетики с 1 января 2018 года по конец тендера
            Работа. Сертификация C сертификата безопасности производства в течение срока действия.
            Гарантия социального обеспечения: вышеуказанные лица должны представить свидетельство о пенсионном страховании за последние 12 месяцев, которое они заплатили.",,
,,,,,"Место проведения торгов: Пекин, Тойота
Условия торгов:
В рамках этого проекта в 2023-2024 годах будет производиться сбор фотоэлектрических компонентов (2 тендера) (номер тендера: CGN-202307040015)
Утверждено Уполномоченным фондом для проекта является самофинансируемый и реализованный, а торгующее лицо имеет ограниченную атомную энергию
компании. В рамках этого проекта уже имеются условия для проведения торгов и в настоящее время проводятся открытые торги.
Общий обзор проекта:
С 2023 по 2024 гг. были собраны матрицы фотоэлектрических компонентов.
Содержание и объем торгов:
Данный тендерный проект разделен на семь пунктов:
2023 - 2024 рамки фотоэлектрических компонентов (1)
Основы фотоэлектрических компонентов с 2023 по 2024 гг.
2023 - 2024 рамки фотоэлектрических компонентов (3 шт)
2023 - 2024 гг. рамка фотоэлектрических компонентов (4 шт)
С 2023 по 2024 г. рамка фотоэлектрических компонентов (5 шт)
С 2023 по 2024 г. рамка фотоэлектрических компонентов (6 шт)
2023 - 2024 гг. рамка фотоэлектрических компонентов (7 шт)
Объем резерва предложений
Символ
Районы, выбранные в предварительном порядке
номер
ВВт
Основные варианты: P 545/550/555
1 Цзянсу, Ганг, 100100
Шэньси, Север
Варианты: 1.P; 2.N 570 и
выше
Основные варианты: P 545/550/555
Хэйлунцзян, Ляонин, Шанси, Запад
2100100
Тибет, Юньнань
Варианты: 1.P; 2.N 570 и
выше
Основные варианты: P 545/550/555
Шанхай, Чунцин, 4
3100100
Сычуань, Цинхай
Варианты: 1.P; 2.N 570 и
выше
Основные варианты: P 545/550/555
Гуандун, Хайнань, Гуанси
4100100
Штат, Джилин, Немон
Варианты: 1.P; 2.N 570
и выше
Основные варианты: P 545/550/555
Фуцзянь, Цзянси, Хунань,
5100100
Южная, Пекин, Тяньцзинь
Варианты: 1.P; 2.N 570
и выше
Основные варианты: P-660 и выше
6 страны 3030
Варианты: 1.P; 2.N 660
и выше
Основные варианты: P 545/550/555
7 гор, Синьцзян, Север 100100
Варианты: 1.P; 2.N 570
и выше
Принципы выдачи подрядов:
Для пунктов 1-5:
Каждому участнику торгов предоставляется отдельная оценка, при этом каждый участник конкурса не может совмещаться ни с одним из пунктов. Когда первые две части одинаковы.
Окончательные участники торгов определялись на основе принципа наименьшей общей медианы (пункты 1-5). В том же пункте,
Первоначальные участники торгов не были рекомендованы в качестве первого кандидата в этом пункте или в другом пункте тендера, в то время как участник торгов, получивший рейтинг, не может быть рекомендован в этом пункте.
Рекомендуется в качестве первого кандидата. За исключением тех случаев, когда в соответствии с вышеупомянутыми принципами были скорректированы первые кандидаты, остальные кандидаты по-прежнему находятся в сводном рейтинге.
Рекомендуемый порядок. В соответствии с вышеупомянутыми принципами Комитет по оценке рекомендовал кандидатов.
Для пунктов 6 и 7:
На первом месте были представлены участники торгов.
Хэйлунцзян, Ляо
Текущий торгуется на сбор матрицы фотоэлектрических компонентов с 2023 по 2024 гг. (2 балла), в основном на объекте
Нин, горы, Тибет, облака
В Южной Азии завод по производству компонентов отвечает только за использование компонентов для автомобилей с минимальной длиной 13,5 метра, которые могут быть доставлены на общую свалку.
Или на месте проекта.
Оборудование, поставляемое в рамках этого тендера, имеет общую мощность 1000 МВт для однокристаллического кремния с двойной флуоресценцией типа P.
(положительная) номинальная мощность составляет 545 Вт/550 Вт/555 Вт, в то время как позитивная маркировка опционов не должна превышать 555 Вт, а также 550 Вт.
Пропорция не должна быть меньше 600 МВт; мощность спины не включает в себя мощность одного блока, электрическое давление фотоэлектрической системы 1500 Вт, а положительное отклонение 0-5 Вт,
Протяженность коробки длиной 300 мм требует от участников торгов обеспечить соответствие внешнего размера одной и той же части.
В этом тендере установлена дополнительная емкость 1000 МВт, которая соответствует требованиям, предъявляемым к данной модели.",31 июля 2023 года 12:00,31 июля 2023 года 23:59,,,,
"предприятие или единица, зарегистрированная в соответствии с законом и имеющая правосубъектность.",,"не должны находиться в ситуации, когда приказ о прекращении производства, распоряжение имуществом или его блокирование","опыт: 1) проектных исследований или моделирования; 2) высокопроизводительных вычислительных платформ (с скоростью вычислений не меньше, чем скорость).
80 TFlops, емкость хранения не менее 150 ТБ или сверхкомпьютерная способность и ресурсы. Доказательство может быть одной из следующих форм: 1)
Аналогичным образом, должна быть предусмотрена обложка, подпись и крышка; 2) один из материалов, таких как отчеты о НИОКР, аналитические отчеты, отчеты о производстве, заказы на тестирование и т.д.
Включает обложку и печать, а в случае иностранных дел соответствующие материалы должны быть подписаны ответственным лицом.",,"1) Проект не принимает консорциума.
2) руководитель подразделения - два и более предприятия одного и того же лица (компания); материнская компания, дочерняя компания и ее холдинг.
Компании; два или более предприятий (компания), которые имеют прямые или косвенные отношения между холдингом или управлением.
В одном из вышеупомянутых случаев заявка может подаваться только одним из них. В случае одновременной регистрации,
В то же время нескольким заявителям будет отказано в участии в конкурсе.
(3) Дочерняя компания любого уровня, которая является одной и той же материнской компанией, но дочерняя компания действует независимо и независимо друг от друга.
За участие в торгах по этому проекту могут участвовать только не более двух дочерних компаний. Если появляется много семей
В тех случаях, когда компания регистрируется одновременно, заинтересованные стороны выберут две из первых зарегистрированных дочерних компаний для участия в торгах по проекту.
(4) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.",02 июня 2023 года в 17 ч. 00 м.,09 июня 2023 года 17 ч. 30 м.,"1) Участники торгов должны быть размещены на платформе электронной коммерции China and China (https://ecp.cgnpc.com.cn) в течение срока действия тендерной документации
Для регистрации в онлайновом режиме необходимо заполнить информацию об уполномоченном участниках торгов.
(2) Стоимость тендерной документации по проекту составляет 0 долл.
3) Участники торгов были зарегистрированы в качестве участников платформы электронной коммерции, которая может быть зарегистрирована непосредственно, в противном случае они должны быть зарегистрированы в качестве участников платформы.
Зарегистрироваться можно только после того, как шаг зарегистрированного члена будет подробно описан на платформе электронной коммерции. Лицензия, выданная участникам торгов на момент регистрации
При внесении изменений в учетную запись и регистрации членов, пожалуйста, войдите в веб-платформу электронной коммерции, чтобы обновить информацию о регистрации членов. Поскольку участник торгов не смог
В тех случаях, когда информация о регистрации обновлена, что влияет на торги, участник торгов берет на себя ответственность.
(4) После успешной регистрации участник торгов загрузит электронную версию тендерной документации в режиме онлайн, и для этого проекта не требуется загрузка приложения.
5) Заявители должны завершить регистрацию тендера в течение срока действия тендерной документации, а просроченная система будет автоматически закрыта. В соответствии с вышеуказанными требованиями
Участник торгов, представивший заявку и загрузивший тендерную документацию, не может участвовать в торгах, а участник торгов имеет право отказать в получении тендерной документации, взимаемой, в соответствии с
Обработка недействительных документов.
6) За участие в торгах, которое не было представлено в соответствии с вышеуказанными требованиями, участник торгов берет на себя ответственность.","1) Руководитель проекта: /
Технический руководитель: /
Другие требования: /",,
,,,,,"Яньцзинь
100 МВт ветряная электроэнергия в южном равнине 107 месяцев
префектуры
100 МВт в городе Ханань
Южный равнин 106 месяцев
Главная / 200MWh Проект совместного хранения энергии
100 МВт в торговом центре Синьяна, провинция Хэнань
106 месяцев в южной равнине
200MWh Проект совместного хранения энергии
Чжэцзян
78 месяцев в Цзянсигиане
70 МВт проект комплементарности
Пункт 4
100 МВт/200 МВт в Данчжоу, штат Южный Ян
Южный равнин 106 месяцев
Проект &lt; &lt; Муниципальный резерв &gt; &gt;
100 МВт летнего сезона.
107-месячная электроэнергия в Южном Яндуне, провинция Хэнань
Проект электроснабжения
200 г.
107 месяцев на равнинном равнине в провинции Хэнань
Проект &lt; &lt; МВт &gt; &gt; (первый этап)
40 МВт ветряная электроэнергия в провинции Хунань
46-месячный электрический ветер в горах.
Шахматный район
Пункт 5
150 МВт фотоэлектрического проекта в районе Янвана, округ Массачусетс, 159 месяцев
40 МВт Юньнань
48 месяцев в горном районе Большого Чушона
фотоэлектрические
Юньнань
60 МВт фотоэлектрической энергии в горах Юньнань в течение 66 месяцев
префектуры
200 Вт для производства электроэнергии
207-й месяц на юго-востоке
Районные проекты
Пункт 6
100 МВт ветряная электроэнергия
1012 год в городе Чжэцзян
Проект резолюции
58,1 МВт в открытом море
5,816 месяц на пляже Ханао
Проект по производству фотоэлектрической энергии
50 МВт УНИТА
54 месяца на равнинах Мондона
Экспериментальный проект ветроэнергетики
Внутренняя Монголия распалась на 10 МВт
14 месяцев электричеству в равнине Аун, муниципалитет Хоулумбер
Ветроэнергетика
100 МВт
108-месячно в городе Сибао
Проект резолюции
Седьмой пункт
Отокоток, Ордос, 20 тыс.
Ветер на равнинах Монси 25 месяцев
Флаговый проект
Ольдосский квазигер
2 Монси 6012 месяцев
Флаг 600 000 кВт
Флаг Урата
Баян
120 МВт зеленый для 127-месячных ветровых особняков Монси
Флаг Урат
Электропроекты
Пункт 8",,,,,,
"Участник процедур должен быть зарегистрирован на территории Китайской Народной Республики (за исключением Гонконга, Австралия) и иметь правосубъектность/государство
Участником торгов является налогоплательщик;
Участники торгов должны пройти сертификацию в соответствии с ISO 9000 или его эквивалентной системой менеджмента качества, которая находится в действительности.","Участники торгов должны получить лицензию на производство специального оборудования Китайской Народной Республики, которая будет охватывать регуляторные клапаны в течение срока действия.","Участники торгов находятся в хорошем финансовом положении и не могут находиться в ситуации, когда им было предписано прекратить работу, когда имущество было приобретено или заморожено.",В течение почти трех лет (с момента истечения срока представления тендерной документации) участник торгов имеет электрическую станцию мощностью 600 МВт и более атомных или пожарных элементов.,"Участники торгов должны иметь хорошую коммерческую репутацию:
1) В течение почти трех лет (с даты представления тендерной документации) не было подделано ложного заявления о конкурсной торгах, не было сговора.
Отчеты о нарушениях, зарегистрированных в целях регистрации или подозрений в соучастии в торгах (в зависимости от того, что определено административными органами местного уровня и выше).
2) В течение почти трех лет (с момента истечения срока представления тендерной документации) участники торгов не должны иметь серьезных и более серьезных аварий безопасности (аварийные происшествия
Записано в соответствии с Постановлением Государственного совета No 493.
3) До истечения срока представления тендерной документации участник процедур не был аннулирован или ограничен участником торгов или соответствующим органом.","1) В рамках проекта не принимаются предложения консорциума.
2) В данном проекте не принимаются заявки от агента.
3) Подразделение возглавляется двумя или более предприятиями одного и того же лица (компаниями), материнской компанией, дочерней компанией и ее холдингом
Компании; два или более предприятий (компания), которые имеют прямые или косвенные отношения между холдингом или управлением.
В одном из вышеупомянутых случаев торги могут проводиться только одним из них. В случае одновременного проведения торгов несколько участников
Человек будет отказывать одновременно.
4) Дочерняя компания любого уровня, которая является одной и той же материнской компанией, но которая является юридическим представителем и действует независимо друг от друга;
За участие в торгах по этому проекту могут участвовать только не более двух дочерних компаний. Если появляется много семей
В тех случаях, когда компания регистрируется одновременно, заинтересованные стороны выберут две из первых зарегистрированных дочерних компаний для участия в торгах по проекту.
(5) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.","28 января 2023 года, 09 ч. 00 м.",03 февраля 2023 года 17 ч. 00 м.,"1) Участники торгов должны быть размещены на платформе электронной коммерции China and China (https://ecp.cgnpc.com.cn) в течение срока действия тендерной документации
Для регистрации в онлайновом режиме необходимо заполнить информацию об уполномоченном участниках торгов.
(2) Стоимость тендерной документации по проекту составляет 0 долл.
3) Участники торгов были зарегистрированы в качестве участников платформы электронной коммерции, которая может быть зарегистрирована непосредственно, в противном случае они должны быть зарегистрированы в качестве участников платформы.
Зарегистрироваться можно только после того, как шаг зарегистрированного члена будет подробно описан на платформе электронной коммерции. Лицензия, выданная участникам торгов на момент регистрации
При внесении изменений в учетную запись и регистрации членов, пожалуйста, войдите в веб-платформу электронной коммерции, чтобы обновить информацию о регистрации членов. Поскольку участник торгов не смог
В тех случаях, когда информация о регистрации обновлена, что влияет на торги, участник торгов берет на себя ответственность.
(4) После успешной регистрации участник торгов загрузит электронную версию тендерной документации в режиме онлайн, и для этого проекта не требуется загрузка приложения.
5) Заявители должны завершить регистрацию тендера в течение срока действия тендерной документации, а просроченная система будет автоматически закрыта. В соответствии с вышеуказанными требованиями
Участник торгов, представивший заявку и загрузивший тендерную документацию, не может участвовать в торгах, а участник торгов имеет право отказать в получении тендерной документации, взимаемой, в соответствии с
Обработка недействительных документов.",,,
,"1) Инженерно-техническая промышленность (новая энергетическая энергия) для разработки уровня II и выше.
            2) Финансовые требования: Участники торгов должны представить финансовый отчет за трехлетний период 2019 - 2021 годов.
            3) Для аналогичных видов инженерного опыта (эффективность) требуется: За последние три года (без учета текущего года) было выполнено два и более аналогичных проектных работ, при этом объем аналогичных проектов превысил 20 МВт.
            Подтверждение результатов работы, представленное участнику торгов, должно быть напечатано на основной странице контракта (обложка контракта, подпись, страница контракта) и
            Соответствующая документация, подтверждающая исполнение контракта участника процедур (записки о качественных поездках, свидетельства о завершении/завершении работ или документы, выданные заказчиком)
            Он доказывает документы).
            4) Требование о доверии: не находится в пределах и в течение срока, в течение которого компания ""Чайна Хиросима лтд."" ограничивает свои предложения.
            5) Кадровые требования: (1) Менеджер проекта: имеет сертификат регистрации строительного мастера первого уровня (при условии наличия электронного сертификата регистрации, который должен быть использован в электронном реестре)
            Срок действия составляет 180 дней) и зарегистрированная единица должна соответствовать наименованиям участника торгов и иметь сертификат соответствия требованиям безопасности производства в течение срока действия.
            Свидетельство.
            2) Технический руководитель: имеет должность среднего и выше.
            3) Сотрудники по вопросам безопасности: сертификация C сертификата безопасности производства в течение срока действия.
            Другие требования: 1) Проект не принимает консорциума. Заявление о регистрации консорциума: два или более обычных члена могут объединяться
            Заявка на регистрацию членов консорциума, поданная головной организацией от имени консорциума, с использованием широкоядерной электронной коммерции
            По итогам аудита тайваньско-поставщикского бюро стало членом консорциума.
            2) Участники торгов должны пройти серию ISO 9000, ISO 14000, ISO 45000 или эквивалентное качество, окружающую среду, гигиену труда
            Сертификация системы.
            3) Другие общие квалификационные требования подробно изложены в главе II, раздел 1.4.3.
            Доступ к тендерной документации: Начало получения тендерной документации: 09 января 2023 года, 17:00; крайний срок:
            19 января 2023 года в 17 ч. 00 м.
            Методы получения: (1) Участники торгов должны проводить свои тендерные заявки на платформе электронной коммерции в Китае и Китае (https://ecp.cgnpc.com.cn) в течение периода времени с момента получения тендерной документации
            Для регистрации в онлайновом режиме необходимо заполнить информацию об уполномоченном участниках торгов.
            2) Участники торгов были зарегистрированы в качестве участников платформы электронной коммерции, которая может быть зарегистрирована непосредственно, в противном случае они должны быть зарегистрированы в качестве участников платформы.
            Зарегистрироваться можно только после того, как шаг зарегистрированного члена будет подробно описан на платформе электронной коммерции. Информация о лицензии, если участник торгов записал
            При регистрации членов меняются, пожалуйста, войдите в веб-платформу электронной коммерции, чтобы обновить информацию о регистрации членов. В связи с несвоевременным обновлением заявок
            В тех случаях, когда информация затрагивает участников торгов, участник процедур берет на себя ответственность.
            3) После успешной регистрации участника торгов участник торгов будет иметь право загружать электронные тендерные документы онлайн.
            5) Участники торгов должны завершить регистрацию тендерных заявок и загрузить тендерную документацию в срок, в течение которого будет получена тендерная документация, а система просроченных заявок будет
            Закрытие. Участники торгов, которые не представили тендерную заявку и не загрузили тендерную документацию в соответствии с вышеуказанными требованиями, не могут участвовать в торгах, а участники торгов имеют право отклонить тендерную заявку.
            Документы, полученные в результате недействительных торгов.
            Представление тендерной документации: Дата представления: 30 января 2023 года, 09 ч. 00 м.
            Методология подачи заявок: в данном проекте используются электронные торги без бумажной тендерной документации, подробно описанной в главе II тендерной документации
            Человек должен знать».",,,,,,,,,,
