location,product,tender_number,tender_name,tender_company
"провинция Джилин, Белый город, Гранд-Ан",Закупка 1-го башня в рамках проекта &lt; &lt; Интегрированная энергетика &gt; &gt; мощностью 490 МВт,CGN-202301060003,,
"Гуандун, Чжэцзян",насосы для важнейших заводов,CGN-202306150009,Проект AD проекта и проект CS LOT134C - насосы для важнейших заводов,Чайна Хинси
"Синьцзян-Уйгурский автономный район и Тэгу, округ Лоуп",1 миллиона киловатт фотоэлектрических установок на базе экологически чистых источников энергии,CGN-CGN,Закупка 1 миллиона киловатт фотоэлектрических установок на базе экологически чистых источников энергии в рамках проекта (1 тендер) (No CGN-CGN),Мушук лимитед
"Шэньчжэнь, провинция Гуандун",генератора электрического тока,CGN-20230529002,,China Institute of Nuclear
АЭС,Расширение резины,LFLOT140GaNICGN 202306080013,Проект LOT140Ga Расширение резины на АЭС,Чайна инжиниринг лтд.
"Янцзы, провинция Гуандун",разработка проекта по автоматическому переключению нового топливного тары Янцзы в рамках проекта,CGN-20230531005,,Jiangian
Гуандун,гидравлические блоки для основного оборудования на АЭС,CGN-20230328002-N1,,Чайна Инжиниринг лимитед
"Шэньчжэнь, провинция Гуандун",кабеля для измерения проекта,CGN-202304030007-N2,,
,,,,
"Вэньчжоу, Чжэцзян",проект CS,CGN-2022127001,Объявление тендера на проект CS,Чайна Хинси
Чжэцзян,специализированные кольца и подвески,CGN-20221110001,Проект BJ LOT11M,Чайна Хинси
"Гуандун, Уичжоу, Уидон",2PB 300 МВт морской ветроэнергетический комплекс,CGN-20221115007,Уведомление о торгах на контроль за морскими ветряными фермами в порту Хиросимы,Чайна Хинэ
провинция Шаньдун,ручной плавучий клапан и корректирующий клапан &lt; &lt; тройка &gt; &gt; ,CGN-20230419004-N2,Проект проекта SK LOT190Bh ручной плавучий клапан и корректирующий клапан &lt; &lt; тройка &gt; &gt; (номер тендера: CGN-20230419004-N2),Чайна Хинон инжиниринг лтд.
провинция Цзянсу; муниципалитет Су; округ Гусу,экспериментальное оборудование для модификации проекта,CGN-202212070003,,
Гуандун,замкнутая система видеонаблюдения,CGN-202304240011,,Чайна инжиниринг лтд.
"Хэбэй, Хан-де-ду-Сипин",100 МВт агроэкономического проекта EPC,CGN-20230616001,,Компания с ограниченной ответственностью.
"провинция Хэйлунцзян, Цзиньцзян, округ Цинго",наружное высоковольтное оборудование,CGN-20230529005,,Новая энергетическая компания
"Вэньчжоу, Чжэцзян",Услуги по мониторингу морской среды в рамках проекта CS,CGN-20230619001,Объявление предложений по проекту услуг по мониторингу морской среды в рамках проекта CS (Контингент: CGN-20230619001),Чайна Хинон инжиниринг лтд.
"Пекин, Тойота",сбор оптических кабелей для новых источников энергии,CGN-2024,,Чайна Хинэ
BZ: AD: Гуандун,оборудования для тары под давлением и нагревателей для производства горячей воды в рамках проекта BZ и проекта AD LOT41Ca и проекта BOP (серия тендерных заявок),CGN-20230629001,,China Institute of Nuclear
"префектура Юньнань, чусуньский автономный округ, префектура Осаки","дороги, подвесные платформы, ветряные машины и коробки",CGN-2022127003,"Объявления о тендере на строительство дорог, подвесных платформ, ветряных машин и коробок в рамках проекта &lt; &lt; Тунда-2 &gt; &gt;",Чжуцунь
Гуандун,Проект LOT111M (специализированные кольца и повешение),CGN-20230516002,Проект LOT111M (специализированные кольца и повешение) проекта LF (Конференция No CGN-20230516002),Хинонжиниринг лимитед
Чжэцзян,Проект CS по проекту LOT140Pc,CGN-202211160008,,Чайна Хинонжиниринг лимитед
Гуандун,Эксплуатационные блоки для генераторов,CGN-20221017005,Проект LOT62 (Конференция No CGN-20221017005),Чайна Хинон инжиниринг лимитед
"округ Ваннань, провинция Чжэцзян",утилизация использованных материалов в рамках проекта &quot; Чжэцзян &quot; ,CGN-20221129002,Объявление торгов на утилизацию использованных материалов в рамках проекта &quot; Чжэцзян &quot; ,Чайна Хинси
"Шэньчжэнь, провинция Гуандун",кабельного оборудования для измерения проекта,CGN-202304030007,,
"Синьцзян-Уйгурский автономный округ, Та-Сити, округ Минь",мониторинг вибраций на ветряной электростанции &lt; &lt; майитас &gt; &gt; ,CGN-20230607001,"Глава I. Объявление предложений Район, в котором осуществляется тендерный проект: Синьцзян-Уйгурский автономный округ, Та-Сити, округ Минь Условия торгов",Ветроэнергетическая компания. В рамках этого проекта уже имеются условия для проведения торгов и в настоящее время проводятся открытые торги.
провинция Шаньдун,электрический нагреватель системы HVAC на Ядерном острове,CGN-202306140009,,Чайна Инжиниринг лимитед
провинция Шаньдун,Проект SK LOT134Ic (TEP и TEU паровые компрессоры),CGN-202302020001,,Чайна Хинэ
"Янцзы, провинция Гуандун",Проект оптимизации CRF-циркулирования корневых валовых насосов (перезапрос) проекта,CGN-202305040001-N1,,
"Гуандун, Чжэцзян",охлаждающие насосы для оборудования AD в Гуандуне,CGN-20230420005,,Чайна Инжиниринг лтд.
"Янцзы, провинция Гуандун",Проект оптимизированных закупок CRF-циркуляторного насоса CRF,CGN-20230504001,Уведомление о торгах,Jiangian
"Территория, в которой находится проект торга:",2-й строительный дорожный зал и предложения,CGN-202303210002,,Чайна Хинон инжиниринг лтд.
"Синьцзян-Уйгурский автономный округ, Баян-Монгольский автономный округ, Жуан","основное оборудование для проекта ""Синьцзян"" (третий пункт: фотоэлектрический проект)",CGN-20230704004,Объявление предложений,Чайна Хинэ
