description,requirements,stages,delivery_time,start_date,end_date
"В ходе работ было установлено в общей сложности 7 ветряных генераторов мощностью 5,56 МВт, общая мощность которых в текущем периоде составила 38,92 МВт, в результате чего было построено 110 кВт-литр в течение первого периода работы винта. Станция давления. На стенде установлена 110kV 100 MVA, а на проводе - линейная переменная.","Этот тендер будет состоять из первого сегмента: кузов. Поставки включают в себя 7 коробок, 1 систему контроля за безопасностью коробок и оборудование для приложений, запасные части, специальные инструменты и т.д. Конкретная сфера охвата и требования к тендерной документации регулируются техническими инструкциями по тендерной документации.",четыре сегмента: 1-й пункт: кузов; 2-й участок: горная гора Гуанси; 3-й пункт: 5-й армейский пул; Четвертое место: Хелунцзяна.,"Предварительный 15 августа 2023 года; срок окончательной поставки был подтвержден покупателем до производства оборудования без подтверждения покупателя, производство не должно начинаться самостоятельно.",15.08.2023,
"Закупка оборудования для фотоаппаратов УНИТА в Китае. Разбивка пунктов: 2 пунктов
1-й пункт: оборудование для станций C и D;
Второй пункт: оборудование для станций F и G.","Участники торгов предоставили три комплекта камер (2 станция подъемного давления на ветряной электростанции C и 1 станция подъемного давления на ветряной площадке D), в том числе мощную камеру,
Конструкция системы охлаждения, системы онлайнового мониторинга, смазочных материалов и оборудования для очистки масла, а также отбор всех компонентов оборудования в рамках поставок
Типы, производство, разработка программного обеспечения, предоставление соответствующей графической и технической информации, испытания (включая испытания на заводе, испытания на заводе), пакеты
Оборудование, транспортировка оборудования, проверка ящиков на месте, руководство по установке на месте, отладке и испытанию на месте, участие в вводе в эксплуатацию, приемка системы и эксплуатация
Профессиональная подготовка, послепродажное обслуживание и т.д.",2,до 10.06.2023,,
Общий контрактный проект PC в 1 млн кВт-диапазоне на базе экологически чистой энергии в Синьцзяне разделен на два пакета из четырех.,"Проект охватывает 250 000 кВт (с точки обмена) в радиусе 1 млн. кВт для проекта фотоэлектрического хранения в округе Лоуп. Строительные работы в полном объеме, включая, но не ограничиваясь ими, следующие элементы: закупка оборудования и материалов (за исключением А), установка, погрузочно-разгрузочные машины и склады материалов (включая палубу), оборудование и материалы (включая палубу), фотоэлектрические поля (включая 35 кВ-электрические линии, поле) оборудование и установка оборудования, испытания и приемка оборудования, полная емкость станции и безопасность сети на 240 часов, консультирование участников торгов по вопросам проверки качества, приемки и проверки электросетей и т.д., а также проверки качества оборудования, технологий и послепродажной одежды обслуживание, завершение всех работ, связанных с приемкой и проверкой, а также запасные части (оборудование категории B), специальные инструменты, расходные материалы - предоставление соответствующей технической информации. Строительство водных ресурсов, источников энергии для строительства, сети для размещения в районе фотоэлектрического строительного комплекса, строительство дорог и строительство инспекции, размещение домовладельцев и инспекторов, закупка заборов и строительство забора, а также координация всех работ после передачи объекта, которые должны быть выполнены участниками торгов ответственность за всю работу.",четыре сегмента,,15.08.2023,30.12.2023
"Строительство электростанций и их вспомогательных сооружений; строительство электростанций 2, 3 и 4; строительство дренажных отверстий и плотин.","Конкурсы на проведение строительных работ по генеральному подряду, включая строительство, закупку, отладку, приемку и обслуживание в рамках проекта.",347 календарных дней,347,28.02.2023,10.02.2024
"установка RX на АЭС << Янцзян >> (DMR001PR) и установка 1/2/5/6 (DMW115PA) - акселераторы, ретрансформаторы или трансмиссионные серии ABB серии ACS800, которые были использованы в связи с прекращением производства оборудования марки. Перестройка.","Установка, отладка и другие связанные с этим услуги для удовлетворения технических потребностей, предоставления документов, испытания, перевозки контейнеров и технической поддержки","Проект должен быть реализован во время капитального ремонта блока, в каждом из которых кольцевой трансформатор реконструкция должна быть завершена в течение 4 дней, а после завершения должна быть гарантирована, что кольца могут использоваться в нормальном режиме.","Оборудование, необходимое для модернизации каждого блока, должно быть доставлено на место за 30 дней до проведения капитального ремонта.",2027.2.1,2026.2.1
,,,2024-09-30,,
,,,2024-12-31,,
"проект SK
Содержание и сфера охвата тендера: данный тендер не делится на сегменты, которые будут включать четыре системы пожарной безопасности JAC, необходимые для строительства SK
Конструкция, поставка и обслуживание насосов, включая установку необходимых специализированных инструментов, запасных частей и расходных материалов, необходимых для выполнения контракта
Соответствующая документация, услуги технической поддержки на местах и обучение, запасные части SO являются вариантами контракта. Конкретная сфера охвата и требования к тендерной документации
Квази.","четыре системы пожарной безопасности JAC, необходимые для строительства SK
Конструкция, поставка и обслуживание насосов, включая установку необходимых специализированных инструментов, запасных частей и расходных материалов, необходимых для выполнения контракта
Соответствующая документация, услуги технической поддержки на местах и обучение, запасные части SO являются вариантами контракта.",1,15.01.2026 - 15.11.2026,15.01.2026,15.11.2026
"закупка оборудования для эксплуатации и тестирования топлива в рамках проекта SK LOT123A, а также необходимых запасных частей, расходуемых
Продукция, специализированные инструменты, документация, упаковка, транспорт, испытания, подготовка по оказанию услуг на местах и т.д. Запасные части для СО являются вариантами контракта. Конкретные торги
Сфера охвата и требования основываются на положениях документа о посещении программ.",,,2026-08-31,,
"данный тендерный проект не делится на сегменты тендера, которые включают в себя: функциональное проектирование и производство двух кранов. Производство, испытание и испытание, поставка, упаковка, транспортировка, установка и отладка, существующая инфраструктура и орбиты, а также драйверы - проведение оценки ядра, ремонтно-восстановительных работ по демонтажу и обезвреживанию бывшего оборудования. Два портативных крана, которые предлагается демонтировать, имеют массу 25 тонн и 20 тонн - 16 и 9 метров. Предлагается закупить и установить два портативных крана с грузоподъемностью 40 тонн и большой колеей 16 метров и 9 метров соответственно. Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.",,,"120 дней с момента подписания контракта на поставку оборудования, а также сроки установки и т.д.",,
