location,product,tender_number,tender_name,tender_company,quantity,description,requirements,stages,delivery_time,start_date,end_date,product_cluster,location_cluster,detailed_cluster
"Гуандун, Чжунцин, Каннинг",оборудование для замены коробок,CGN-202305310008,,Новая энергетическая компания,,"Проект <<Хиннин>>, расположенный в городе Цзянцзян, округ Кананг, провинция Чжунцзинь, провинция Гуандун, на севере и в трех городах Объединения, на границе между горами хребта. На западе ветряного поля находится провинциальная дорога S260, на востоке - G355, на террасе - небольшое количество деревенских дорог и дорожных дорог, в лучшем состоянии. В ходе работ было установлено в общей сложности 7 ветряных генераторов мощностью 5,56 МВт, общая мощность которых в текущем периоде составила 38,92 МВт, в результате чего было построено 110 кВт-литр в течение первого периода работы винта. Станция давления. На стенде установлена 110kV 100 MVA, а на проводе - линейная переменная.","Этот тендер будет состоять из первого сегмента: кузов. Поставки включают в себя 7 коробок, 1 систему контроля за безопасностью коробок и оборудование для приложений, запасные части, специальные инструменты и т.д. Конкретная сфера охвата и требования к тендерной документации регулируются техническими инструкциями по тендерной документации.",четыре сегмента: 1-й пункт: кузов; 2-й участок: горная гора Гуанси; 3-й пункт: 5-й армейский пул; Четвертое место: Хелунцзяна.,"Предварительный 15 августа 2023 года; срок окончательной поставки был подтвержден покупателем до производства оборудования без подтверждения покупателя, производство не должно начинаться самостоятельно.",15.08.2023,,0,23,0
"Немонгольский автономный район, УНИТА, правый флаг Корнея",оборудование для оптических камер,CGN-202211140006,,Новая энергетическая компания,,"Закупка оборудования для фотоаппаратов УНИТА в Китае. Разбивка пунктов: 2 пунктов
1-й пункт: оборудование для станций C и D;
Второй пункт: оборудование для станций F и G.","Участники торгов предоставили три комплекта камер (2 станция подъемного давления на ветряной электростанции C и 1 станция подъемного давления на ветряной площадке D), в том числе мощную камеру,
Конструкция системы охлаждения, системы онлайнового мониторинга, смазочных материалов и оборудования для очистки масла, а также отбор всех компонентов оборудования в рамках поставок
Типы, производство, разработка программного обеспечения, предоставление соответствующей графической и технической информации, испытания (включая испытания на заводе, испытания на заводе), пакеты
Оборудование, транспортировка оборудования, проверка ящиков на месте, руководство по установке на месте, отладке и испытанию на месте, участие в вводе в эксплуатацию, приемка системы и эксплуатация
Профессиональная подготовка, послепродажное обслуживание и т.д.",2,до 10 июня 2023 года,,,0,27,1
"Синьцзян-Уйгурский автономный район и Тэгу, округ Лоуп",1 млн. кВт оптико-волнового поля PC,CGN-202307050014,,China Solar Energy Successing Ltd.,,Общий контрактный проект PC в 1 млн кВт-диапазоне на базе экологически чистой энергии в Синьцзяне разделен на два пакета из четырех.,"Упаковка 1: первый этап проекта генерального подряда на PC в 1 млн. кВт-диапазоне Лоупо на базе экологически чистой энергетики в Синьцзяне
Проект охватывает 250 000 кВт (с точки обмена) в радиусе 1 млн. кВт для проекта фотоэлектрического хранения в округе Лоуп.
Строительные работы в полном объеме, включая, но не ограничиваясь ими, следующие элементы: закупка оборудования и материалов (за исключением А), установка
Погрузочно-разгрузочные машины и склады материалов (включая палубу), оборудование и материалы (включая палубу), фотоэлектрические поля (включая 35 кВ-электрические линии, поле)
Оборудование и установка оборудования, испытания и приемка оборудования, полная емкость станции и безопасность сети на 240 часов
Консультирование участников торгов по вопросам проверки качества, приемки и проверки электросетей и т.д., а также проверки качества оборудования, технологий и послепродажной одежды
Обслуживание, завершение всех работ, связанных с приемкой и проверкой, а также запасные части (оборудование категории B), специальные инструменты, расходные материалы
- предоставление соответствующей технической информации. Строительство водных ресурсов, источников энергии для строительства, сети для размещения в районе фотоэлектрического строительного комплекса, строительство дорог и строительство
Инспекции, размещение домовладельцев и инспекторов, закупка заборов и строительство забора, а также координация всех работ после передачи объекта, которые должны быть выполнены участниками торгов
Ответственность за всю работу.",четыре сегмента,Планируемый период работы составляет с 15 августа 2023 года до 30 декабря 2023 года.,15.08.2023,30.12.2023,2,14,0
"Хубэй, Хуанган, округ Чун",гидроэнергетическая станция,CGN-202301310002,,Чайна нью-Энтерпрайз,,Проект &lt; &lt; Старый ветер в Синьцзян-Тауне &gt; &gt; : 20 марта 2023 года (в соответствии с письменным уведомлением министерства),"Содержание и сфера охвата данного тендера включают:
1) строительство и эксплуатация электростанций и их вспомогательных сооружений;
2) строительство электростанций 2, 3 и 4;
3) строительство дренажных отверстий и плотин.",347 календарных дней,347 календарных дней,28.02.2023,10.02.2024,0,4,0
"Пекин, Тойота",сбор фотоэлектрических компонентов,CGN-202307040015,,Чайна Хинэ,,С 2023 по 2024 гг. были собраны матрицы фотоэлектрических компонентов.,"Данный тендерный проект разделен на семь пунктов:
2023 - 2024 рамки фотоэлектрических компонентов (1)
Основы фотоэлектрических компонентов с 2023 по 2024 гг.
2023 - 2024 рамки фотоэлектрических компонентов (3 шт)
2023 - 2024 гг. рамка фотоэлектрических компонентов (4 шт)
С 2023 по 2024 г. рамка фотоэлектрических компонентов (5 шт)
С 2023 по 2024 г. рамка фотоэлектрических компонентов (6 шт)
2023 - 2024 гг. рамка фотоэлектрических компонентов (7 шт)",7,,2023,2024,2,15,2
Шэньчжэнь,Лингх-1 и Лингх-2 по ремонту оборудования для атомных электростанций,CGN-202307120011,,Чайна Хинэ,,"Масштаб проекта: атомная электростанция << Лин-А-1 >> на АЭС << Большой АЭС >> и металлическое оборудование на АЭС << Линг-2 >> могут генерировать металлические элементы
Ржавчина, разрушение покрытия, старение покрытия, защита от старения или повреждения внутренней коррозии, ошибки цвета покрытия и т.д., требуют технического обслуживания на месте.
Обработка. Подробнее см. в Техническом регламенте.","Все производственное оборудование (включая офлайновое оборудование) на атомных электростанциях << Лингх-1 >> и << Лингх-2 >> , связанные с системами производства за пределами завода
Оборудование и связанные с ним конструкции/компоненты, работа по консервации оборудования для обучения навыкам и т.д.; ремонт цеха PX в резиновых рубашках.
Внутренние дефекты внешней коррозии оборудования, проверка состояния покрытия; повышение/восстановление производственных помещений во время ежедневного и капитального ремонта
ждать. Подробнее см. в Техническом регламенте.",,1095,,,0,18,1
провинция Шаньдун,финансирование проекта CW LOT120Eb (внутриконструкция),CGN-20230116003,,Чайна Инжиниринг лимитед,,"Контент и сфера охвата: два блока LOT120Eb (конструкция компоновки). Конкретная сфера охвата и требования к тендерной документации
Квази.",,,OC + 46 месяцев; дата поставки второй группы: EOC + 54 месяца.,,,1,0,1
Гуандун,"Групповая решетка, Стальные ворота, Хлоридные решетки, Твердые решетки, очистители",CGN-CGN,,,,"Закупка AD-проектов 3 и 4
Оборудование для фильтрации воды в цикле LOT7B, а также конструкция оборудования, запасные части, расходные материалы, специализированные инструменты, документы, упаковка, транспорт,
Услуги технической поддержки и профессиональная подготовка на местах. Конкретная сфера охвата и требования к участию в торгах определяются в тендерной документации.",,,30.09.2025,31.01.2026,30.11.2026,0,2,1
Гуандун,Проект AN LOT70B Предпроектный трансформатор кольцевой сети (Конференция No CGN-202303140017),CGN-202303140017,,Чайна инжиниринг лтд.,,Общая информация о проекте AN LOT70B Предпроектный трансформатор связи,"проект AN 2 - предзаводитель кольцевой сети, включая оборудование, упаковку, транспорт, документы и услуги",,30 октября 2023 года.,,,1,2,1
"Пекин, Тойота",Матрица комплексной автоматизированной системы электроснабжения 2023 года,CGN-202304060020,,,,в рамках этого проекта была закуплена комплексная автоматизированная система комплекта оборудования для проекта << Энергоснабжение 2023 >>.,Закупка матрицы комплексной автоматизированной системы подъемных станций 2023 года (пункт 1); Закупка матрицы комплексной автоматизированной системы подъемных станций в 2023 году (пункт 2); Закупка матрицы комплексной автоматизированной системы подъемных станций 2023 года (пункт 3); Закупка матрицы комплексной автоматизированной системы электроснабжения 2023 года (пункт 4).,четыре сегмента,35,после подписания контракта,завершение поставки в течение 35 дней после подписания контракта,3,15,0
